employee_id,manager_id,manager_name,department,manager_experience,leadership_score,communication_score,manager_performance_score,employee_performance,satisfaction_score,attrition,project_success_score,revenue_generated
nan,4.0,priya verma,hr,17.0,7.5,8.07,38.95,7.71,8.01,nan,8.03,93390.42
emp_0256,9.0,vikas yadav,it,15.0,8.31,8.03,8.17,6.3,8.01,no,7.95,81780.86
emp_0257,3.0,neha jain,sales,9.0,8.21,7.7,7.96,8.31,8.53,no,7.67,85400.87
emp_0258,10.0,meera shah,it,12.0,22.62,8.14,7.84,7.33,7.08,no,8.03,85400.87
emp_0259,6.0,arjun nair,finance,10.0,7.23,8.08,7.66,7.32,8.31,no,8.75,91342.81
emp_0260,1.0,amit sharma,sales,10.0,7.07,7.88,7.47,7.69,7.24,no,7.2,85400.87
emp_0261,10.0,meera shah,it,12.0,7.54,8.14,7.84,6.32,7.38,no,8.03,82595.92
emp_0262,10.0,meera shah,it,12.0,7.54,8.03,7.84,5.67,7.82,no,7.78,79881.07
emp_0263,8.0,anjali patel,hr,12.0,7.57,7.24,7.41,7.32,8.2,no,8.13,84474.88
emp_0264,6.0,sneha kapoor,sales,8.0,7.98,8.08,8.03,6.07,8.01,no,8.32,75500.75
emp_0265,12.0,pooja malhotra,finance,11.0,7.58,7.58,7.58,7.32,8.73,no,6.25,85400.87
emp_0266,10.0,sneha kapoor,it,12.0,7.54,8.14,7.84,8.14,8.01,no,8.29,85400.87
emp_0267,2.0,karan mehta,finance,11.0,7.73,8.45,8.09,8.21,8.01,no,9.01,85400.87
emp_0268,6.0,pooja malhotra,sales,13.0,7.58,8.03,7.58,8.12,8.77,no,9.26,92448.56
emp_0269,6.0,amit sharma,nan,10.0,7.07,7.88,7.47,8.05,6.86,yes,7.89,84390.79
emp_0270,6.0,sneha kapoor,sales,8.0,7.98,8.08,8.03,7.88,45.96799999999987,no,8.38,84008.76
emp_0271,8.0,anjali patel,hr,12.0,7.57,21.72,7.41,8.16,42.8,no,9.08,90989.66
emp_0272,6.0,sneha kapoor,sales,8.0,7.98,8.08,8.03,7.32,7.47,no,7.04,77427.94
emp_0273,11.0,arjun nair,finance,10.0,7.23,8.08,7.66,7.97,7.79,no,9.14,91591.12
emp_0274,7.0,rohit singh,sales,11.0,6.94,8.03,7.38,7.32,5.89,yes,7.88,85400.87
emp_0275,6.0,sneha kapoor,sales,8.0,7.98,8.08,7.79,7.64,8.01,no,9.25,95642.75
emp_0276,6.0,sneha kapoor,sales,8.0,7.98,8.08,8.03,26.68,8.83,no,21.450000000000003,92069.3
emp_0277,4.0,priya verma,hr,11.0,7.58,8.03,7.79,7.79,8.28,no,9.14,92988.5
emp_0278,8.0,anjali patel,hr,12.0,7.57,8.03,7.41,6.7,8.06,no,9.35,81127.02
emp_0279,6.0,nan,sales,8.0,7.98,8.08,8.03,8.13,7.83,no,24.76439999999999,83063.74
nan,4.0,priya verma,hr,11.0,7.5,8.07,7.79,6.12,7.66,no,6.44,92478.2
emp_0281,3.0,neha jain,sales,9.0,8.21,7.7,7.96,5.87,8.74,no,8.49,76712.49
emp_0282,7.0,rohit singh,sales,11.0,20.82,7.83,7.38,6.08,6.89,yes,7.97,80586.52
emp_0283,1.0,amit sharma,sales,10.0,7.07,7.88,7.47,6.82,9.72,no,6.89,91911.26
emp_0284,7.0,rohit singh,sales,11.0,6.94,7.83,7.38,7.32,6.64,yes,5.83,82954.35
emp_0285,7.0,rohit singh,sales,11.0,6.94,7.83,7.38,9.24,7.9,no,7.86,93121.19
emp_0286,6.0,sneha kapoor,it,15.0,8.31,8.03,8.17,7.14,8.79,no,8.03,85400.87
emp_0287,6.0,rahul gupta,finance,17.0,7.6,6.65,35.6,7.32,7.51,no,10.0,83640.45
emp_0288,3.0,sneha kapoor,sales,9.0,8.21,7.7,7.96,7.83,9.38,no,8.22,89328.99
emp_0289,6.0,vikas yadav,it,15.0,7.58,8.03,8.17,8.56,8.01,nan,7.79,93428.08
emp_0290,7.0,rohit singh,sales,44.0,6.94,7.83,7.38,7.64,36.5,no,7.11,84994.96
emp_0291,6.0,sneha kapoor,sales,32.0,7.98,8.08,8.03,6.23,8.01,no,7.09,82302.05
emp_0292,2.0,karan mehta,finance,11.0,7.73,8.03,8.09,9.45,9.96,no,7.68,100843.87
emp_0293,5.0,rahul gupta,finance,17.0,7.6,6.65,7.12,31.12,38.15,no,7.23,94743.34
emp_0294,2.0,karan mehta,finance,11.0,23.19,8.45,8.09,6.56,7.13,no,7.47,85400.87
emp_0295,5.0,rahul gupta,finance,17.0,7.6,6.65,7.12,6.07,8.01,no,8.1,78074.63
nan,9.0,vikas yadav,it,15.0,8.31,8.03,8.17,7.32,9.76,no,7.07,87042.26
emp_0297,30.0,meera shah,it,12.0,7.54,8.14,7.79,5.76,7.5,no,9.13,83333.8
emp_0298,6.0,sneha kapoor,sales,32.0,7.98,8.08,8.03,23.6,8.09,no,9.09,85042.72
emp_0299,1.0,amit sharma,sales,10.0,7.07,7.88,7.47,7.32,6.67,no,8.69,85400.87
emp_0300,6.0,rohit singh,sales,11.0,6.94,8.03,7.38,5.43,8.69,no,8.03,85400.87
emp_0204,9.0,vikas yadav,it,60.0,8.31,8.03,8.17,7.27,8.01,no,7.45,85400.87
emp_0267,2.0,sneha kapoor,finance,11.0,7.73,8.45,8.09,8.21,8.01,no,9.01,88401.69
emp_0153,12.0,pooja malhotra,finance,13.0,7.58,7.58,7.58,6.23,8.01,yes,7.11,81668.88
emp_0010,1.0,amit sharma,sales,10.0,7.07,7.88,7.47,32.44,8.01,no,10.0,96887.59
emp_0234,2.0,karan mehta,finance,11.0,7.73,8.45,8.09,6.8,8.01,no,8.63,86850.55
emp_0227,9.0,vikas yadav,it,15.0,8.31,8.03,8.17,7.28,8.01,no,8.03,91834.12
emp_0197,7.0,rohit singh,sales,11.0,6.94,7.83,7.38,6.46,8.01,no,7.43,77018.71
emp_0110,8.0,anjali patel,hr,12.0,7.58,7.24,7.79,7.32,8.01,yes,6.99,72458.72
emp_0006,6.0,sneha kapoor,sales,8.0,7.98,8.08,8.03,5.29,8.01,no,8.58,80288.21
emp_0176,2.0,karan mehta,sales,11.0,7.73,8.45,8.09,7.55,8.01,no,8.03,90954.07
emp_0238,6.0,sneha kapoor,sales,8.0,7.98,8.03,8.03,7.32,8.01,no,7.59,85400.87
emp_0058,18.0,sneha kapoor,sales,8.0,7.98,8.08,8.03,7.94,8.01,no,8.21,85400.87
emp_0219,4.0,priya verma,hr,17.0,22.5,8.07,7.79,7.32,8.01,no,5.69,85400.87
emp_0046,11.0,arjun nair,finance,10.0,7.23,8.08,7.66,7.02,8.01,no,8.67,82136.47
emp_0183,12.0,pooja malhotra,sales,13.0,22.74,7.58,7.58,8.31,8.01,no,8.03,94420.81
nan,5.0,rahul gupta,finance,17.0,7.6,6.65,35.6,8.52,7.9,no,7.94,96305.37
nan,7.0,rohit singh,sales,11.0,6.94,7.83,7.38,5.28,5.54,yes,8.55,79155.72
nan,1.0,amit sharma,sales,10.0,7.07,7.88,7.47,7.32,6.31,yes,8.47,85400.87
nan,5.0,rahul gupta,finance,60.0,7.6,19.950000000000003,7.12,7.93,7.88,no,8.54,85609.22
nan,4.0,priya verma,hr,17.0,7.5,8.03,7.79,6.57,8.76,no,7.64,86753.57
nan,1.0,amit sharma,sales,10.0,7.07,7.88,7.47,8.32,8.65,no,7.86,91907.16
nan,6.0,karan mehta,finance,44.0,7.73,8.45,8.09,7.2,8.86,no,9.1,88794.62
nan,33.0,arjun nair,finance,10.0,7.23,8.08,7.66,6.72,7.69,no,6.54,85400.87
nan,11.0,arjun nair,finance,10.0,7.23,8.08,7.66,6.19,9.24,no,6.98,74851.64
nan,11.0,arjun nair,finance,10.0,7.58,8.08,7.66,6.41,8.78,no,7.83,79656.79
nan,4.0,priya verma,hr,17.0,7.5,8.07,7.79,6.7,7.3,no,7.8,85360.13
nan,11.0,arjun nair,sales,10.0,7.23,8.08,7.66,7.98,7.34,no,6.46,84033.01
nan,6.0,sneha kapoor,sales,8.0,7.98,8.03,8.03,8.87,8.63,no,9.42,93108.08
nan,3.0,neha jain,sales,9.0,8.21,7.7,7.96,7.32,8.01,no,9.19,85400.87
